Статус,Тип,Размер,Размер (байт),Путь на продакшене (public_html/),Локальный путь
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,3 МБ,3952134,docs/dokumenty/Рабочая-программа-воспитания-профессии-43.01.09-Повар-кондитер-2021.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,1 МБ,1220722,docs/dokumenty/Результаты-самообследования-ГБПОУ-РО-СИТ-за-2022-год-2023.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,1 МБ,1236265,docs/dokumenty/Результаты-самообследования-ГБПОУ-РО-СИТ-за-2022-год-2023.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,918 КБ,941048,docs/dokumenty/Результаты-самообследования_2016.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,912 КБ,934706,docs/dokumenty/Результаты-самообследования_2016.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,1 МБ,1426820,docs/dokumenty/Результаты-самообследования_2017.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,1 МБ,1282248,docs/dokumenty/Результаты-самообследования_2018.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,1 МБ,1229572,docs/dokumenty/Результаты-самообследования_2018.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,1 МБ,1629858,docs/dokumenty/Результаты-самообследования_2019.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,1 МБ,1413146,docs/dokumenty/Результаты-самообследования_2020.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,1 МБ,1359791,docs/dokumenty/Результаты-самоосбледования_2017.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,1 МБ,1553316,docs/dokumenty/Результаты-самоосбледования_2019.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,1 МБ,1495002,docs/dokumenty/Результаты-самоосбледования_2020.zip,
